#,I / O,FOB,FOB_newpairs,Serial Number,Re-pairing status,OK,Notes
215,_Out,215_Out,,980000005ACDE221,,x,Working 
216,_In,216_In,,0D0000005A9FD021,,x,Working 
216,_Out,216_Out,,850000005A9E2121,,x,Working 
217,_In,217_In,,F10000005AC82D21,,x,Working 
217,_Out,217_Out,,6C0000005AA67D21,,x,Working 
218,_In,218_In,,8F0000005AD0F621,,x,Working 
218,_Out,218_Out,,E50000005AAED821,,x,Working 
219,_In,219_In,,280000005AAFD821,,x,Working 
219,_Out,219_Out,,4F0000005ACC2521,,x,Working 
220,_In,220_In,,980000005A9F4F21,,x,Working 
220,_Out,220_Out,,3B0000005AB79721,,x,Working 
221,_In,221_In,,7C0000005AC86621,,x,Working 
221,_Out,221_Out,,310000005ABF0021,,x,Working 
222,_In,222_In,,C60000005AA0F921,,x,Working 
222,_Out,222_Out,,520000005ACD4B21,,,Battery dead
223,_In,223_In,,D40000005AB49F21,re-paired,x,Working; completely chewed apart unpaired ibutton
223,_Out,223_Out,,090000005AA1EA21,,x,Working 
224,_In,224_In,,A70000005AACAB21,,x,Working 
224,_Out,224_Out,,AA0000005AAC4421,,x,Working 
225,_In,225_In,,4A0000005AD0A321,,x,Working 
225,_Out,225_Out,,E60000005AAC7C21,,x,Working 
226,_In,226_In,,6F0000005AA6EB21,,x,Working 
226,_Out,226_Out,,0C0000005AB4BD21,,x,Working 
227,_In,227_In,,2E0000005AA25821,,x,Working 
227,_Out,227_Out,,EA0000005AA0BA21,,x,Working 
228,_In,228_In,,C80000005ABBEA21,,x,Working; minimal chewing 
228,_Out,228_Out,,890000005AB79121,,x,Working 
229,_In,229_In,,D00000005AC53421,,x,Working 
229,_Out,229_Out,,CE0000005ABBDF21,,x,Working 
230,_In,230_In,,0D0000005ACC6421,,x,Working 
230,_Out,230_Out,,280000005AC88A21,,x,Working 
231,_In,231_In,,760000005A9DDB21,,x,Working 
231,_Out,231_Out,,270000005AA0A321,,x,Working 
232,_In,232_In,,6F0000005AC5DD21,,x,Working 
232,_Out,232_Out,,C50000005ABF6121,,x,Working 
233,_In,233_In,,D30000005A9EDE21,,x,Working 
233,_Out,233_Out,,FB0000005ACF3D21,,x,Working 
234,_In,234_In,,B60000005AB85B21,,x,Working 
234,_Out,234_Out,,090000005AC93F21,,x,Working 
235,_In,235_In,,380000005AAE5921,,x,Working ; chewed about halfway through
235,_Out,235_Out,,2B0000005ABDF521,,x,Working 
236,_In,236_In,,460000005AC70F21,,x,Working ; minimal chewing 
236,_Out,236_Out,,F70000005AA91C21,,x,Working 
237,_In,237_In,,B40000005AA65F21,,x,Working 
237,_Out,237_Out,,DF0000005AA6FE21,,x,Working 
